n_train,frac,split,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Dataset,Model
1303,0.05,train,0,0.819646968534152,0.880672268907563,0.7616279069767442,0.8168355416991426,0.9173638684061259,OULAD (week-4 features),Random forest
1303,0.05,validation,0,0.7134529835864396,0.7633868808567604,0.6626961069145846,0.7094867807153966,0.7913462934780494,OULAD (week-4 features),Random forest
2607,0.1,train,0,0.8151131568853088,0.8756302521008403,0.7572674418604651,0.8121590023382697,0.9158308026184043,OULAD (week-4 features),Random forest
2607,0.1,validation,0,0.7136063813468323,0.7648839556004037,0.6606624055781523,0.7089633671083398,0.7961840647475968,OULAD (week-4 features),Random forest
5214,0.2,train,0,0.8099347909474491,0.8745748299319728,0.747184889211769,0.8058765915768854,0.913067463029877,OULAD (week-4 features),Random forest
5214,0.2,validation,0,0.7129927903052615,0.7669045191980972,0.6557234166182452,0.7069694596711041,0.7966074417285414,OULAD (week-4 features),Random forest
10429,0.4,train,0,0.8087064915140474,0.8677980305887283,0.7522702506356702,0.8059149722735675,0.9100574196789659,OULAD (week-4 features),Random forest
10429,0.4,validation,0,0.715293756711152,0.7673634524612273,0.6612434631028472,0.7103620474406991,0.801845551624138,OULAD (week-4 features),Random forest
15644,0.6,train,0,0.8087445666070059,0.8629910406616127,0.7580820922629858,0.807141936315586,0.9061599733673114,OULAD (week-4 features),Random forest
15644,0.6,validation,0,0.7221966559288234,0.7712005320917859,0.6737361998837885,0.7191812684137076,0.8037157184086086,OULAD (week-4 features),Random forest
20859,0.8,train,0,0.8092430126084663,0.8675026123301985,0.7538363751929538,0.8066851285041053,0.9063416069930391,OULAD (week-4 features),Random forest
20859,0.8,validation,0,0.7244976223347139,0.7782285327924273,0.6687972109238814,0.719375,0.8054276381324053,OULAD (week-4 features),Random forest
26074,1.0,train,0,0.8060136534478791,0.8644124539671911,0.7502542496004649,0.8032978144201602,0.9043847095926335,OULAD (week-4 features),Random forest
26074,1.0,validation,0,0.7266451909802117,0.7770360480640854,0.6763509587449158,0.723205964585275,0.8066062765920683,OULAD (week-4 features),Random forest
1303,0.05,train,1,0.8234842670759785,0.8681672025723473,0.7848837209302325,0.8244274809160306,0.9187984496124032,OULAD (week-4 features),Random forest
1303,0.05,validation,1,0.7143295489413931,0.7544311956171447,0.6803254867770997,0.7154645476772616,0.7919796519762972,OULAD (week-4 features),Random forest
2607,0.1,train,1,0.8300728807057921,0.878345498783455,0.7870639534883721,0.8302031429666539,0.9211072251714432,OULAD (week-4 features),Random forest
2607,0.1,validation,1,0.7206198220312979,0.7689243027888446,0.6730601569311246,0.7178056717805672,0.7974135614642183,OULAD (week-4 features),Random forest
5215,0.2,train,1,0.8241610738255034,0.876538146021329,0.7762440973483472,0.8233481024850703,0.9156443469246901,OULAD (week-4 features),Random forest
5215,0.2,validation,1,0.7279840441853329,0.7789297658862876,0.6768381284510316,0.7243041517648888,0.8032364033968027,OULAD (week-4 features),Random forest
10430,0.4,train,1,0.8149568552253116,0.8709811242480813,0.7624841111312874,0.8131293570875291,0.9101777137298821,OULAD (week-4 features),Random forest
10430,0.4,validation,1,0.7301319423135931,0.7810828877005348,0.6791630340017437,0.7265661433234882,0.8031051221685166,OULAD (week-4 features),Random forest
