Dataset,Features,Model,Design,Accuracy,Precision,Recall,F1,ROC-AUC
OULAD,Full-module features,Random forest,Single 80/20 split,0.878,0.927,0.835,0.879,0.947
OULAD,Full-module features,Random forest,Stratified 5-fold,0.874 ± 0.002,0.924 ± 0.004,0.830 ± 0.005,0.874 ± 0.002,0.945 ± 0.003
OULAD,Full-module features,Random forest,Stratified group 5-fold,0.874 ± 0.004,0.925 ± 0.005,0.828 ± 0.006,0.874 ± 0.005,0.944 ± 0.002
OULAD,Full-module features,Neural network (MLP),Single 80/20 split,0.881,0.906,0.864,0.884,0.947
OULAD,Full-module features,Neural network (MLP),Stratified 5-fold,0.878 ± 0.003,0.917 ± 0.005,0.847 ± 0.010,0.880 ± 0.004,0.945 ± 0.004
OULAD,Full-module features,Neural network (MLP),Stratified group 5-fold,0.880 ± 0.004,0.914 ± 0.006,0.852 ± 0.006,0.882 ± 0.004,0.945 ± 0.002
OULAD,Week-4 features only,Random forest,Stratified group 5-fold,0.723 ± 0.006,0.776 ± 0.006,0.670 ± 0.008,0.719 ± 0.007,0.801 ± 0.005
OULAD,Week-4 features only,Neural network (MLP),Stratified group 5-fold,0.724 ± 0.003,0.763 ± 0.007,0.692 ± 0.007,0.726 ± 0.003,0.802 ± 0.005
Student Performance,Task 1 features,Random forest,Single 80/20 split,0.785,0.511,0.522,0.516,0.826
Student Performance,Task 1 features,Random forest,Stratified 5-fold,0.784 ± 0.011,0.508 ± 0.025,0.530 ± 0.095,0.516 ± 0.057,0.809 ± 0.013
Student Performance,Task 1 features,Random forest,Stratified group 5-fold,0.783 ± 0.025,0.498 ± 0.069,0.526 ± 0.138,0.509 ± 0.105,0.808 ± 0.043
Student Performance,Task 1 features,Neural network (MLP),Single 80/20 split,0.799,0.600,0.261,0.364,0.787
Student Performance,Task 1 features,Neural network (MLP),Stratified 5-fold,0.792 ± 0.002,0.662 ± 0.067,0.135 ± 0.046,0.218 ± 0.061,0.742 ± 0.038
Student Performance,Task 1 features,Neural network (MLP),Stratified group 5-fold,0.799 ± 0.014,0.611 ± 0.071,0.230 ± 0.053,0.333 ± 0.064,0.758 ± 0.042
